status,Accept.,I..low.state.,I..high...low.,S.N,Nb.d,tau_on.median..s.,tau_off.median..s.,tau_on.max..s.,tau_off.max..s.,tau_on_CV,tau_off_CV
Methylated,N,639.7465265,503.0032545,2.631398939,12,28.6,26.8,188.4,128.8,1.283124724,1.096396414
Methylated,N,167.4102589,373.1485155,2.161555829,14,12,30.8,179.6,103.2,1.810363169,0.918925563
Methylated,Y,150.2745903,410.6589635,2.698221578,18,13.2,20.2,82,141.2,1.2402679,1.100203884
Methylated,N,-17.35983713,NA,NA,0,NA,600,NA,600,NA,0
Methylated,Y,-12.59370532,215.932073,2.412698688,14,6.8,49.2,29.6,146,0.851765686,0.739504416
Methylated,Y,-10.80752634,179.1891009,1.766957672,14,4,47.2,42,146.4,1.207440457,0.752829376
Methylated,N,51.49025506,260.6625369,2.037487402,16,4.8,35.2,66,237.6,1.597234919,1.313528302
Methylated,Y,105.5944758,464.6591273,1.901767569,19,16.2,32.6,65.2,72.8,1.015365231,0.682308576
Methylated,Y,149.893594,556.2130478,3.424829398,19,3,29.8,45.2,186.4,1.474392863,1.25225559
Methylated,N,118.9600657,215.6699976,2.344803592,5,32.8,40.4,210,310,1.371745345,1.412221433
Methylated,N,39.52478387,496.8889008,3.331734658,12,6.6,26.8,61.2,211.6,1.356261909,1.192635009
Methylated,N,-66.19596635,362.5438291,4.598328256,24,1.6,38.8,35.2,117.2,1.868455046,0.902811215
Methylated,Y,33.74146412,434.028469,2.815268249,20,6.8,32,41.2,132.4,1.047993974,0.928271955
Methylated,Y,49.02318898,299.3778647,1.852314852,16,11,30,70,183.2,1.213806165,1.107822891
Methylated,N,-39.70898798,NA,NA,0,NA,600,NA,600,NA,0
Methylated,N,-2.874284733,188.8221963,1.783534404,8,40.4,56,63.2,222.8,0.709861583,0.988453747
Methylated,Y,-2.148054639,262.5956798,2.450714544,10,13.2,83.4,25.2,178.8,0.857645355,0.597085928
Methylated,Y,159.0980617,493.9645555,2.436828331,18,5.2,30.8,41.2,160,1.075220422,0.979828683
Methylated,N,-32.21457193,465.2334606,2.942709219,18,1.6,29,139.6,92.4,1.684948207,0.882075964
Methylated,Y,57.02910865,300.0515235,2.056435798,8,31.4,40.8,165.6,171.6,1.294401341,0.924271249
Methylated,N,-8.635731445,288.889969,1.833839794,7,21.8,128.8,49.2,222.4,0.788731087,0.784440496
Methylated,N,100.2928762,477.8291394,3.43733045,4,130.6,142.4,256.8,191.6,1.366567776,0.857350175
Methylated,Y,88.43352067,374.7982278,2.262655537,24,8.6,16.8,50.4,124.8,1.153756004,1.143170439
Methylated,Y,39.67491443,373.8415902,2.309543842,28,6,22,22.8,182.4,0.992530875,1.337468825
